cycles         instructions   cache-references  cache-misses  branches     branch-misses  page-faults  Power
120,864,561    73,244,118     1,758,916         210,462       13,756,795   725,264        4,285        6.6
162,939,342    109,808,439    2,371,860         249,766       20,107,557   1,091,255      4,329        7.0
129,576,137    73,071,297     1,982,173         197,745       13,607,272   842,607        4,276        6.4
126,320,752    74,497,806     1,980,418         182,503       13,772,213   803,604        4,312        6.4
167,710,383    120,351,490    2,388,330         220,500       22,071,116   1,336,711      4,306        6.7
126,976,466    75,889,269     1,936,659         224,890       14,133,477   832,683        4,270        6.6
51,281,387     31,213,278     620,221           89,020        5,502,060    230,867        1,006        6.1
421,416,622    434,551,890    4,837,276         334,348       77,078,393   3,759,230      4,372        9.1
182,922,800    134,998,790    2,535,285         274,532       24,912,884   1,224,953      4,354        7.0
170,207,090    102,849,791    2,788,476         240,401       19,350,528   1,195,632      4,284        6.8
139,623,811    84,508,134     2,088,644         217,118       15,676,794   918,060        4,307        6.4
147,760,674    98,742,110     2,117,627         211,846       18,477,892   1,000,947      4,329        6.3
125,465,246    72,169,465     1,961,228         212,584       13,372,589   774,609        4,299        6.1
131,477,399    82,571,568     2,037,502         207,507       15,174,108   862,799        4,301        6.7
123,727,012    64,561,831     1,761,276         168,986       12,054,905   664,079        4,289        6.4
274,975,666    105,429,457    1,650,391         162,530       22,524,853   635,588        4,277        6.9
197,353,814    166,021,002    2,427,036         211,005       30,080,960   1,789,765      4,271        7.3
111,406,050    63,153,087     1,733,444         189,503       11,821,031   647,724        4,290        6.6
152,173,386    111,055,451    1,942,352         200,520       20,103,896   1,223,098      4,286        6.5
160,700,328    113,785,447    2,168,790         244,154       21,157,362   1,181,773      4,276        6.4
138,333,414    89,560,729     1,964,346         214,767       16,474,290   992,386        4,283        6.8
130,658,776    78,285,179     2,029,165         205,703       14,438,577   838,824        4,318        6.7
128,996,012    82,362,609     1,845,827         180,136       15,273,899   924,108        4,294        6.8
128,632,580    71,614,271     1,910,694         202,840       13,262,369   833,605        4,289        6.3
124,399,656    68,857,533     1,776,960         184,767       12,923,166   747,429        4,288        6.6
112,442,301    64,442,186     1,784,483         178,601       12,076,365   701,613        4,293        6.3
372,514,909    359,901,857    4,532,004         321,946       64,976,054   3,006,833      4,337        6.6
260,663,665    162,048,348    4,323,330         388,276       33,320,504   1,592,634      4,531        8.7
600,572,509    580,592,298    7,335,588         473,916       103,560,902  5,464,782      4,449        7.6
162,511,780    119,172,013    2,219,203         227,440       21,970,291   1,195,837      4,288        12.7
156,512,199    105,067,958    2,182,835         250,903       19,176,556   1,158,405      4,298        6.8
246,339,845    228,246,945    2,896,208         267,125       42,006,686   2,036,543      4,266        6.8
57,114,883     30,379,018     721,425           116,786       5,312,034    264,192        1,010        7.4
