LLC-loads  LLC-load-misses  LLC-stores  LLC-store-misses  dTLB-loads  dTLB-load-misses  dTLB-stores  dTLB-store-misses  Power
254,520    40,125           168,506     44,896            <not        0                 <not         10,688             6.0
456,312    107,182          666,361     211,183           <not        0                 <not         20,090             7.7
472,661    60,816           269,698     117,319           <not        0                 <not         22,883             6.3
454,010    47,264           250,855     127,647           <not        0                 <not         21,529             6.6
380,662    69,890           272,074     161,185           <not        0                 <not         31,728             6.8
466,789    68,495           338,934     77,291            <not        0                 <not         21,875             6.6
348,466    49,864           326,423     79,144            <not        0                 <not         18,064             6.5
558,765    54,130           269,359     118,838           <not        0                 <not         22,937             7.3
448,734    59,305           265,561     79,515            <not        0                 <not         19,788             6.7
545,917    61,849           163,172     51,552            <not        0                 <not         22,779             6.9
673,325    92,732           256,432     90,385            <not        0                 <not         23,623             7.5
522,406    75,512           209,139     63,531            <not        0                 <not         15,055             6.5
473,406    61,538           237,080     57,884            <not        0                 <not         20,473             6.5
424,773    40,533           242,725     68,920            <not        0                 <not         19,559             6.6
507,289    57,343           322,096     116,617           <not        0                 <not         20,853             6.9
338,402    57,339           255,743     109,065           <not        0                 <not         24,410             6.6
475,038    51,792           255,027     74,610            <not        0                 <not         17,973             7.2
477,314    65,583           320,520     97,230            <not        0                 <not         19,421             7.0
802,414    81,417           290,447     140,339           <not        0                 <not         22,493             6.8
552,288    56,924           219,961     96,321            <not        0                 <not         16,367             6.6
530,329    61,276           202,013     66,406            <not        0                 <not         17,747             6.7
823,091    94,691           217,317     69,021            <not        0                 <not         24,921             7.5
340,405    77,314           296,147     63,866            <not        0                 <not         20,028             6.9
709,333    53,450           222,624     98,882            <not        0                 <not         20,718             6.7
437,437    72,111           337,958     54,614            <not        0                 <not         17,366             6.7
472,124    50,075           247,458     79,202            <not        0                 <not         23,436             6.9
917,951    103,742          255,386     119,079           <not        0                 <not         28,309             7.3
603,113    115,323          290,782     73,305            <not        0                 <not         24,716             7.0
518,709    76,649           211,279     75,505            <not        0                 <not         25,066             6.6
435,530    59,748           279,428     91,642            <not        0                 <not         22,348             7.2
664,189    54,622           177,626     69,510            <not        0                 <not         25,408             6.8
487,681    69,028           317,181     86,834            <not        0                 <not         27,839             6.7
615,141    74,895           219,941     89,071            <not        0                 <not         20,796             6.9
506,306    71,051           348,485     98,390            <not        0                 <not         27,767             6.6
495,555    78,005           245,124     82,773            <not        0                 <not         18,804             6.8
556,075    67,312           197,823     102,632           <not        0                 <not         24,585             6.7
532,896    74,261           206,612     85,911            <not        0                 <not         19,863             6.8
461,492    86,523           455,192     94,645            <not        0                 <not         19,667             6.8
540,793    81,031           277,184     79,192            <not        0                 <not         21,039             8.0
217,268    35,527           57,719      24,176            <not        0                 <not         7,402              6.1
854,544    68,444           205,282     82,457            <not        0                 <not         23,491             6.7
386,723    73,910           224,455     132,781           <not        0                 <not         20,155             6.4
737,349    74,156           381,934     74,846            <not        0                 <not         23,375             6.7
558,047    81,465           397,788     105,506           <not        0                 <not         18,014             7.0
449,793    72,618           246,427     95,461            <not        0                 <not         22,341             6.6
554,960    51,217           176,216     66,022            <not        0                 <not         20,607             6.5
479,896    57,789           249,786     77,516            <not        0                 <not         23,875             6.4
722,471    56,533           142,651     64,850            <not        0                 <not         20,884             6.7
595,435    73,070           148,714     35,671            <not        0                 <not         15,890             6.6
491,504    44,018           185,542     64,209            <not        0                 <not         25,630             6.5
774,875    53,159           118,311     49,950            <not        0                 <not         21,468             6.5
591,663    64,890           238,014     108,259           <not        0                 <not         24,711             6.9
618,795    62,750           132,289     86,766            <not        0                 <not         22,176             6.4
626,771    51,014           169,498     88,746            <not        0                 <not         20,792             6.5
633,185    67,802           193,903     72,434            <not        0                 <not         18,362             6.7
796,165    75,598           203,222     175,908           <not        0                 <not         27,152             7.0
577,071    107,586          311,647     98,920            <not        0                 <not         31,054             7.3
3,514,138  96,484           392,727     230,527           <not        0                 <not         45,888             9.7
545,203    79,071           156,080     84,463            <not        0                 <not         18,961             6.5
493,019    56,022           211,524     85,785            <not        0                 <not         29,123             6.6
375,582    68,067           368,364     75,526            <not        0                 <not         20,689             6.8
482,136    78,237           594,802     118,698           <not        0                 <not         22,159             7.7
560,983    73,591           208,955     66,200            <not        0                 <not         16,765             6.4
509,940    68,747           203,304     99,072            <not        0                 <not         24,569             6.6
514,416    60,467           305,971     106,553           <not        0                 <not         24,921             6.8
201,834    42,804           173,546     92,480            <not        0                 <not         12,777             6.3
447,641    59,416           284,654     80,908            <not        0                 <not         19,927             6.7
500,933    54,535           332,204     310,973           <not        0                 <not         29,814             6.6
380,703    42,075           257,079     90,986            <not        0                 <not         20,574             6.4
454,833    48,382           284,586     97,449            <not        0                 <not         20,654             6.6
420,135    55,993           303,265     114,714           <not        0                 <not         29,238             6.3
587,621    68,946           304,390     53,024            <not        0                 <not         17,162             6.5
314,765    46,403           90,015      42,326            <not        0                 <not         11,713             6.3
1,079,013  87,910           358,602     241,533           <not        0                 <not         24,536             7.5
551,728    72,579           183,709     98,555            <not        0                 <not         24,925             6.6
656,231    65,725           186,451     73,080            <not        0                 <not         22,199             7.0
896,093    78,614           230,968     95,932            <not        0                 <not         17,097             6.2
504,125    72,985           185,488     64,207            <not        0                 <not         17,846             6.6
447,757    41,238           219,305     74,681            <not        0                 <not         17,738             6.3
515,490    63,036           233,868     62,563            <not        0                 <not         21,684             6.6
593,510    53,316           150,932     67,207            <not        0                 <not         22,160             6.5
397,179    71,990           315,619     53,313            <not        0                 <not         16,644             6.7
818,233    68,698           376,907     163,714           <not        0                 <not         25,553             7.0
365,146    76,755           337,047     48,610            <not        0                 <not         19,691             7.1
519,657    62,172           214,190     81,935            <not        0                 <not         19,519             6.3
805,792    96,392           324,681     160,629           <not        0                 <not         23,684             7.2
619,018    76,495           184,210     75,222            <not        0                 <not         19,608             6.2
552,697    70,398           170,177     42,805            <not        0                 <not         14,280             6.3
418,611    56,729           353,927     60,922            <not        0                 <not         16,140             6.4
511,534    56,004           256,760     132,169           <not        0                 <not         27,081             6.7
428,567    44,208           253,420     283,506           <not        0                 <not         21,428             6.5
561,083    64,225           254,196     117,558           <not        0                 <not         22,314             6.6
188,996    40,134           103,757     45,849            <not        0                 <not         9,291              6.4
465,432    70,936           359,151     57,020            <not        0                 <not         20,933             6.7
441,100    64,599           306,674     64,000            <not        0                 <not         17,771             6.6
562,184    52,171           211,861     124,861           <not        0                 <not         42,515             6.4
494,883    62,436           289,861     75,967            <not        0                 <not         20,138             6.6
463,117    48,033           217,262     76,219            <not        0                 <not         26,161             6.6
714,799    74,911           278,655     99,028            <not        0                 <not         21,194             8.0
2,146,644  110,777          633,878     121,246           <not        0                 <not         33,530             8.7
857,394    98,210           514,298     114,400           <not        0                 <not         26,158             7.4
595,615    71,262           155,842     86,461            <not        0                 <not         25,875             6.5
489,551    44,399           210,915     113,242           <not        0                 <not         23,219             6.5
551,350    53,960           650,486     147,595           <not        0                 <not         19,655             6.5
520,160    71,558           304,176     141,795           <not        0                 <not         23,050             6.8
460,311    51,552           267,662     144,893           <not        0                 <not         23,556             6.4
663,771    57,582           151,230     64,435            <not        0                 <not         22,781             7.3
416,147    48,420           266,406     89,559            <not        0                 <not         18,864             6.5
592,680    57,551           236,840     145,708           <not        0                 <not         26,130             6.7
375,564    53,394           483,341     105,931           <not        0                 <not         20,242             6.7
728,035    61,650           130,351     80,923            <not        0                 <not         27,230             6.4
492,705    54,523           217,470     90,167            <not        0                 <not         22,002             6.5
569,006    55,966           185,879     66,559            <not        0                 <not         19,465             6.3
468,458    52,242           295,635     95,990            <not        0                 <not         24,539             6.6
758,369    110,723          205,729     61,931            <not        0                 <not         22,113             6.9
563,532    68,014           150,113     61,882            <not        0                 <not         18,165             6.5
650,270    82,831           174,707     60,273            <not        0                 <not         23,263             6.6
568,791    57,537           181,970     97,366            <not        0                 <not         26,811             6.4
332,030    48,778           55,941      66,109            <not        0                 <not         15,405             6.1
477,099    60,130           228,090     98,057            <not        0                 <not         25,005             6.2
680,629    57,228           145,358     84,895            <not        0                 <not         24,995             6.2
565,026    57,071           209,873     95,813            <not        0                 <not         23,119             6.5
531,808    59,684           188,411     59,895            <not        0                 <not         24,052             6.3
615,349    85,500           284,815     100,502           <not        0                 <not         26,082             6.8
533,214    137,161          293,916     91,505            <not        0                 <not         25,303             6.9
1,077,812  111,065          383,956     134,738           <not        0                 <not         32,112             7.4
595,857    88,755           231,967     119,894           <not        0                 <not         28,241             6.8
649,462    60,288           203,558     99,321            <not        0                 <not         27,157             6.5
578,004    80,716           280,098     61,609            <not        0                 <not         19,942             7.3
475,097    59,361           247,094     92,258            <not        0                 <not         23,329             6.3
558,088    64,083           262,368     121,127           <not        0                 <not         22,147             6.7
556,746    66,565           172,368     62,359            <not        0                 <not         21,057             6.4
522,618    57,017           189,346     65,368            <not        0                 <not         20,638             6.4
543,314    66,018           210,267     114,647           <not        0                 <not         25,139             6.5
305,909    49,512           351,262     60,776            <not        0                 <not         22,686             6.2
623,952    72,077           203,208     87,921            <not        0                 <not         25,744             7.2
442,420    68,471           514,227     91,199            <not        0                 <not         21,888             6.5
365,576    68,567           250,447     55,614            <not        0                 <not         20,214             6.5
528,831    66,676           235,647     113,062           <not        0                 <not         25,365             6.6
723,660    87,391           328,153     79,211            <not        0                 <not         18,137             7.2
400,719    61,975           442,034     69,716            <not        0                 <not         15,127             6.2
